"ID,MonthlyIncome"
"8,711,000"
"8,721,000"
"8,731,000"
"8,741,000"
"8,751,000"
"8,761,000"
"8,771,000"
"8,781,000"
"8,791,000"
"8,801,000"
"8,811,000"
"8,821,000"
"8,831,000"
"8,841,000"
"8,851,000"
"8,861,000"
"8,871,000"
"8,881,000"
"8,891,000"
"8,901,000"
"8,911,000"
"8,921,000"
"8,931,000"
"8,941,000"
"8,951,000"
"8,961,000"
"8,971,000"
"8,981,000"
"8,991,000"
"9,001,000"
"9,011,000"
"9,021,000"
"9,031,000"
"9,041,000"
"9,051,000"
"9,061,000"
"9,071,000"
"9,081,000"
"9,091,000"
"9,101,000"
"9,111,000"
"9,121,000"
"9,131,000"
"9,141,000"
"9,151,000"
"9,161,000"
"9,171,000"
"9,181,000"
"9,191,000"
"9,201,000"
"9,211,000"
"9,221,000"
"9,231,000"
"9,241,000"
"9,251,000"
"9,261,000"
"9,271,000"
"9,281,000"
"9,291,000"
"9,301,000"
"9,311,000"
"9,321,000"
"9,331,000"
"9,341,000"
"9,351,000"
"9,361,000"
"9,371,000"
"9,381,000"
"9,391,000"
"9,401,000"
"9,411,000"
"9,421,000"
"9,431,000"
"9,441,000"
"9,451,000"
"9,461,000"
"9,471,000"
"9,481,000"
"9,491,000"
"9,501,000"
"9,511,000"
"9,521,000"
"9,531,000"
"9,541,000"
"9,551,000"
"9,561,000"
"9,571,000"
"9,581,000"
"9,591,000"
"9,601,000"
"9,611,000"
"9,621,000"
"9,631,000"
"9,641,000"
"9,651,000"
"9,661,000"
"9,671,000"
"9,681,000"
"9,691,000"
"9,701,000"
"9,711,000"
"9,721,000"
"9,731,000"
"9,741,000"
"9,751,000"
"9,761,000"
"9,771,000"
"9,781,000"
"9,791,000"
"9,801,000"
"9,811,000"
"9,821,000"
"9,831,000"
"9,841,000"
"9,851,000"
"9,861,000"
"9,871,000"
"9,881,000"
"9,891,000"
"9,901,000"
"9,911,000"
"9,921,000"
"9,931,000"
"9,941,000"
"9,951,000"
"9,961,000"
"9,971,000"
"9,981,000"
"9,991,000"
"10,001,000"
"10,011,000"
"10,021,000"
"10,031,000"
"10,041,000"
"10,051,000"
"10,061,000"
"10,071,000"
"10,081,000"
"10,091,000"
"10,101,000"
"10,111,000"
"10,121,000"
"10,131,000"
"10,141,000"
"10,151,000"
"10,161,000"
"10,171,000"
"10,181,000"
"10,191,000"
"10,201,000"
"10,211,000"
"10,221,000"
"10,231,000"
"10,241,000"
"10,251,000"
"10,261,000"
"10,271,000"
"10,281,000"
"10,291,000"
"10,301,000"
"10,311,000"
"10,321,000"
"10,331,000"
"10,341,000"
"10,351,000"
"10,361,000"
"10,371,000"
"10,381,000"
"10,391,000"
"10,401,000"
"10,411,000"
"10,421,000"
"10,431,000"
"10,441,000"
"10,451,000"
"10,461,000"
"10,471,000"
"10,481,000"
"10,491,000"
"10,501,000"
"10,511,000"
"10,521,000"
"10,531,000"
"10,541,000"
"10,551,000"
"10,561,000"
"10,571,000"
"10,581,000"
"10,591,000"
"10,601,000"
"10,611,000"
"10,621,000"
"10,631,000"
"10,641,000"
"10,651,000"
"10,661,000"
"10,671,000"
"10,681,000"
"10,691,000"
"10,701,000"
"10,711,000"
"10,721,000"
"10,731,000"
"10,741,000"
"10,751,000"
"10,761,000"
"10,771,000"
"10,781,000"
"10,791,000"
"10,801,000"
"10,811,000"
"10,821,000"
"10,831,000"
"10,841,000"
"10,851,000"
"10,861,000"
"10,871,000"
"10,881,000"
"10,891,000"
"10,901,000"
"10,911,000"
"10,921,000"
"10,931,000"
"10,941,000"
"10,951,000"
"10,961,000"
"10,971,000"
"10,981,000"
"10,991,000"
"11,001,000"
"11,011,000"
"11,021,000"
"11,031,000"
"11,041,000"
"11,051,000"
"11,061,000"
"11,071,000"
"11,081,000"
"11,091,000"
"11,101,000"
"11,111,000"
"11,121,000"
"11,131,000"
"11,141,000"
"11,151,000"
"11,161,000"
"11,171,000"
"11,181,000"
"11,191,000"
"11,201,000"
"11,211,000"
"11,221,000"
"11,231,000"
"11,241,000"
"11,251,000"
"11,261,000"
"11,271,000"
"11,281,000"
"11,291,000"
"11,301,000"
"11,311,000"
"11,321,000"
"11,331,000"
"11,341,000"
"11,351,000"
"11,361,000"
"11,371,000"
"11,381,000"
"11,391,000"
"11,401,000"
"11,411,000"
"11,421,000"
"11,431,000"
"11,441,000"
"11,451,000"
"11,461,000"
"11,471,000"
"11,481,000"
"11,491,000"
"11,501,000"
"11,511,000"
"11,521,000"
"11,531,000"
"11,541,000"
"11,551,000"
"11,561,000"
"11,571,000"
"11,581,000"
"11,591,000"
"11,601,000"
"11,611,000"
"11,621,000"
"11,631,000"
"11,641,000"
"11,651,000"
"11,661,000"
"11,671,000"
"11,681,000"
"11,691,000"
"11,701,000"
